TrainingDataset,HumanOrthologGeneID,MouseGeneID,Symbol,Synonyms,Description,EnsemblGeneID,ProteinLength,TargetP_Score,MitoDomain_Score,CoexpressionGnfN50_Score,PGC_Induction_Score,YeastMitoHomolog_Score,RickettsiaHomolog_Score,MSMS_Score,MCARTA2.0_score,MCARTA2_FDR,MCARTA2_LIST,MCARTA2_EVIDENCE,mm10_Chromosome,mm10_Start,mm10_Stop,MSMS_NUM_TISSUES,MSMS_NUM_PEPTIDES_UNIQUE,MSMS_NUM_SPECTRA,MSMS_TOTAL_INTENSITY,MSMS_PERCENT_COVERAGE,Tissues,cerebrum_total_peak_intensity_log10,cerebellum_total_peak_intensity_log10,brainstem_total_peak_intensity_log10,spinalcord_total_peak_intensity_log10,kidney_total_peak_intensity_log10,liver_total_peak_intensity_log10,heart_total_peak_intensity_log10,skeletalmuscle_total_peak_intensity_log10,adipose_total_peak_intensity_log10,smallintestine_total_peak_intensity_log10,largeintestine_total_peak_intensity_log10,stomach_total_peak_intensity_log10,placenta_total_peak_intensity_log10,testis_total_peak_intensity_log10,HPA_PrimarySubcellularLocalization_2015
Tmito,54460,66292,Mrps21,1810031B19Rik|P58059,mitochondrial ribosomal protein S21,ENSMUSG00000054312,87,,SharedDomain,NA,1.35,OrthologMitoHighConf,Ortholog,50-75pure,22.3635,0.005,1,"literature, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, MS/MS++",chr3,95862651,95870619,14,9,102,2.33E+09,74,all 14,8.2,8.2,8.3,7.7,8.4,8.2,7.2,7,8,8.5,8.7,7.8,8.3,8,
Tmito,22921,76467,Msrb2,2310050L06Rik|Mrsb|Msrb|Pilb|Q78J03,methionine sulfoxide reductase B2,ENSMUSG00000023094,175,1,SharedDomain,7,0.38,OrthologMitoLowConf,NoHomolog,50-75pure,22.2126,0.005,1,"APEX_matrix, targetP signal+, yeast mito homolog+, mito protein domain, coexpression, MS/MS++",chr2,19371635,19394971,13,12,154,2.28E+09,60,"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, largeintestine, stomach, placenta, testis",8.5,8.3,8.7,8.3,8.5,7.6,8,7.7,8.3,,8,7.9,7.9,7.7,
Tmito,51218,73046,Glrx5,2310004O13Rik|2900070E19Rik|AU020725|Q80Y14,glutaredoxin 5 homolog (S. cerevisiae),ENSMUSG00000021102,152,1,SharedDomain,7,,OrthologMitoLowConf,Homolog,25-50pure,22.0709,0.005,1,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression, MS/MS+",chr12,105032688,105040910,14,8,223,1.09E+10,39,all 14,8.6,8.5,8.7,8.6,9.2,9.2,8.2,8,9.1,9,9,8.8,9.2,8.9,"Nucleus;Mitochondria (APE, Supportive)"
Tmito,400916,103172,Chchd10,1620401E04Rik|AI267078|Ndg2|Q7TNL9,coiled-coil-helix-coiled-coil-helix domain containing 10,ENSMUSG00000049422,138,2,SharedDomain,46,5.24,OrthologMitoLowConf,NoHomolog,,22.0487,0.005,1,"literature, targetP signal, yeast mito homolog+, mito protein domain, induction, coexpression++",chr10,75935572,75937734,,,,,,,,,,,,,,,,,,,,,"Mitochondria (APE, Supportive)"
Tmito,80219,67876,Coq10b,1500041J02Rik|1700030I21Rik|9530077A17Rik|AV002237|AW742641|Q3THF9,coenzyme Q10 homolog B (S. cerevisiae),ENSMUSG00000025981,242,2,MitoDomain,4,,OrthologMitoLowConf,Homolog,25-50pure,22.0063,0.005,1,"GFP, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, MS/MS+",chr1,55052769,55072702,11,6,32,3.69E+08,40,"cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, largeintestine, stomach, placenta",7.3,7,7.6,6.5,,7.2,8.1,7.9,7.7,,7,7.3,6.8,,"Cytoplasm (APE, Uncertain)"
Tmito,1468,27376,Slc25a10,Dic|Q9QZD8,"solute carrier family 25 (mitochondrial carrier, dicarboxylate transporter), member 10",ENSMUSG00000025792,287,,MitoDomain,14,,OrthologMitoLowConf,NoHomolog,75-100pure,21.9678,0.005,1,"literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++",chr11,120491836,120501161,12,25,608,3.92E+10,82,"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis",8.3,8,8.5,8.9,9.9,9.9,,,10,9.6,9.5,8.5,9.5,9.2,"Mitochondria (Staining, Supportive)"
Tmito,10165,50799,Slc25a13,AI785475|Ctrn|Q9QXX4,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 13",ENSMUSG00000015112,676,,MitoDomain,10,,OrthologMitoLowConf,NoHomolog,75-100pure,21.9678,0.005,1,"literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++",chr6,6041217,6217173,14,55,1834,1.68E+11,85,all 14,10,9.6,10,9.9,10.6,10.7,10.1,10,8.9,9.3,9.8,9.6,9.9,9.7,"Mitochondria (APE, Supportive)"
Tmito,253512,67554,Slc25a30,4933433D23Rik|AV025504|AV221431|AW319655|KMCP1|Q9CR58,"solute carrier family 25, member 30",ENSMUSG00000022003,291,,MitoDomain,11,,OrthologMitoLowConf,NoHomolog,75-100pure,21.9678,0.005,1,"literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++",chr14,75761998,75787037,5,16,34,6.00E+08,78,"cerebrum, cerebellum, liver, placenta, testis",7.2,7.3,,,,7.1,,,,,,,7.5,8.7,"Nucleus but not nucleoli (APE, Uncertain)"
Tmito,1346,12865,Cox7a1,COX7A|COX7AH|COX7AM|P56392,cytochrome c oxidase subunit VIIa 1,ENSMUSG00000074218,80,2,MitoDomain,19,6.03,NoMitoHomolog,NoHomolog,25-50pure,21.9553,0.005,1,"literature, targetP signal, mito protein domain+, induction, coexpression, MS/MS+",chr7,30184170,30186030,13,6,167,5.79E+09,44,"cerebrum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis",7.7,,8,7.3,8.2,7.4,9,9,8.2,9.1,7.2,9.2,7.5,8.3,
Tmito,60386,67283,Slc25a19,2900089E13Rik|DNC|MUP1|TPC|Q9DAM5,"solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19",ENSMUSG00000020744,318,,MitoDomain,16,0.95,OrthologMitoHighConf,NoHomolog,25-50ambig,21.9122,0.005,1,"literature, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS",chr11,115614180,115628295,4,11,27,3.29E+08,45,"cerebellum, spinalcord, adipose, testis",,7.4,,7.6,,,,,8.2,,,,,8,
Tmito,91689,69029,Smdt1,1500032L24Rik|Q9DB10,single-pass membrane protein with aspartate rich tail 1,ENSMUSG00000022452,107,2,MitoDomain,38,0.97,NoMitoHomolog,NoHomolog,50-75ambig,21.9112,0.005,1,"literature, targetP signal, mito protein domain+, induction, coexpression+, MS/MS",chr15,82346045,82349062,11,4,82,1.25E+09,51,"cerebrum, cerebellum, brainstem, spinalcord, kidney, adipose, smallintestine, largeintestine, stomach, placenta, testis",8.7,8.1,7.6,6.9,7.3,,,,7.2,8.6,7.8,7.5,7.9,7,"Nucleoli;Nucleus but not nucleoli (APE, Uncertain)"
Tmito,55173,64657,Mrps10,1110038B19Rik|AW743084|Rpms10|G5E8U5,mitochondrial ribosomal protein S10,ENSMUSG00000034729,201,2,SharedDomain,NA,,OrthologMitoHighConf,Homolog,50-75pure,21.8537,0.005,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++",chr17,47368886,47378679,14,14,155,3.50E+09,66,all 14,8.5,8.2,8.4,8.1,8.4,8.3,7.9,7.8,8.6,8.5,9,7.6,8.4,8.1,"Mitochondria (APE, Uncertain)"
Tmito,29093,216767,Mrpl22,E030011D16Rik|HSPC158|MRP-L25|Rpml25|Q8BU88,mitochondrial ribosomal protein L22,ENSMUSG00000020514,206,2,SharedDomain,NA,,OrthologMitoHighConf,Homolog,50-75pure,21.8537,0.005,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++",chr11,58171653,58179581,14,16,272,6.26E+09,62,all 14,8.8,8.4,8.8,8.2,8.9,8.5,8.2,8,8.6,8.6,9.2,8.2,8.8,8.3,"Mitochondria (APE, Uncertain)"
Tmito,,114896,Afg3l1,1700047G05Rik|3110061K15Rik|Q920A7,AFG3(ATPase family gene 3)-like 1 (yeast),ENSMUSG00000031967,789,2,MitoDomain,12,,HomologMitoLowConf,Homolog,25-50pure,21.8459,0.004,1,"literature, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain+, coexpression, MS/MS+",chr8,123477861,123503916,14,25,292,6.72E+09,31,all 14,8.5,8.7,8.7,8.5,9.2,8.7,8.2,8.1,8.8,8.7,8.8,8.4,8.7,8.6,
Tmito,2232,14149,Fdxr,Q61578,ferredoxin reductase,ENSMUSG00000018861,494,2,NA,8,,OrthologMitoHighConf,NoHomolog,75-100pure,21.7468,0.004,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, coexpression, MS/MS++",chr11,115268024,115276969,9,31,210,9.40E+09,78,"spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis",,,,7.5,7.9,8.5,,,8.4,8.6,8.6,8.5,9.3,9.7,"Mitochondria (APE, Supportive)"
Tmito,81892,380773,Slirp,1810035L17Rik|Q9D8T7,SRA stem-loop interacting RNA binding protein,ENSMUSG00000021040,112,1,SharedDomain,11,1.03,NoMitoHomolog,NoHomolog,75-100pure,21.7383,0.004,1,"literature, APEX_matrix, GFP, targetP signal+, mito protein domain, induction, coexpression, MS/MS++",chr12,87443895,87449924,14,20,317,1.21E+10,96,all 14,8.8,8.3,8.4,8.7,9.2,9.2,8.5,8.1,8.9,9.1,9.3,8.9,9.2,8.7,"Mitochondria (APE, Supportive)"
Tmito,26073,67811,Poldip2,1300003F06Rik|Pdip38|Q91VA6,"polymerase (DNA-directed), delta interacting protein 2",ENSMUSG00000001100,368,1,NonMitoDomain,41,0.73,NoMitoHomolog,NoHomolog,50-75pure,21.734,0.004,1,"literature, APEX_matrix, targetP signal+, induction, coexpression++, MS/MS++",chr11,78512295,78522736,14,23,186,6.84E+09,68,all 14,8.1,8.2,8.5,7.6,8.9,8.5,7.7,8.2,9,8.1,8.6,8.1,9.3,9,
Tmito,197322,257633,Acsf3,BB101783|Q3URE1,acyl-CoA synthetase family member 3,ENSMUSG00000015016,583,1,SharedDomain,30,,NoMitoHomolog,Homolog,50-75pure,21.7331,0.004,1,"APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, coexpression+, MS/MS++",chr8,122775504,122817881,14,35,407,9.25E+09,67,all 14,8.6,8.2,8.5,8.8,9.3,8.6,8.4,8,9.2,8.9,9.1,9,8.5,7.7,
Tmito,5018,69089,Oxa1l,1810020M02Rik|AI894287|Q8BGA9,oxidase assembly 1-like,ENSMUSG00000000959,433,1,SharedDomain,9,,OrthologMitoHighConf,Ortholog,0-25ambig,21.7025,0.004,1,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression",chr14,54360840,54369669,10,10,64,8.73E+08,19,"cerebrum, brainstem, spinalcord, kidney, heart, adipose, smallintestine, largeintestine, placenta, testis",7.5,,7.7,7.2,8,,7.7,,8.3,7.9,8,,8.3,7.6,"Mitochondria (APE, Supportive)"
Tmito,3418,269951,Idh2,E430004F23|IDPm|Idh-2|P54071,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",ENSMUSG00000030541,452,1,SharedDomain,6,1.06,NoMitoHomolog,Homolog,50-75pure,21.6918,0.004,1,"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++",chr7,80094846,80115350,14,43,2455,2.87E+11,73,all 14,9.2,8.7,9.1,9.1,10.7,10,11.1,9.8,10,10.4,9.9,10.4,10.4,9.4,"Mitochondria (APE, Supportive)"
Tmito,10632,27425,Atp5l,4933437C06Rik|Q9CPQ8,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G",ENSMUSG00000038717,103,5,MitoDomain,NA,,OrthologMitoHighConf,NoHomolog,75-100pure,21.6458,0.004,1,"literature, APEX_matrix, yeast mito homolog++, mito protein domain+, MS/MS++",chr9,44913247,44920742,14,15,676,2.13E+11,97,all 14,10.2,10,10.1,10,10.9,10.1,10,9.2,9.8,10.1,10.2,10,9.9,9.7,
Tmito,51027,69168,Bola1,1810037G04Rik|Q9D8S9,bolA-like 1 (E. coli),ENSMUSG00000015943,137,1,SharedDomain,18,,NoMitoHomolog,Ortholog,50-75pure,21.6421,0.004,1,"GFP, targetP signal+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++",chr3,96196587,96197586,13,8,83,8.99E+08,67,"cerebrum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis",7.1,,7.6,7.6,7.9,8.3,6.5,6.6,8.3,7.7,7.7,7.4,8,8,"Nucleus but not nucleoli (APE, Uncertain)"
Tmito,51011,68126,Fahd2a,1500003K14Rik|B430104H02Rik|Cgi-105|Fahd2|Q3TC72,fumarylacetoacetate hydrolase domain containing 2A,ENSMUSG00000027371,313,2,SharedDomain,15,1,HomologMitoLowConf,NoHomolog,75-100pure,21.5959,0.004,1,"APEX_matrix, targetP signal, yeast mito homolog, mito protein domain, induction, coexpression, MS/MS++",chr2,127436214,127444565,14,21,293,1.50E+10,78,all 14,9.1,8.7,9,9.1,9.4,8.5,8.8,7.7,9.4,8.4,8.7,8.5,7.8,9.6,
Tpossible_mito,144363,67636,Lyrm5,4930469P12Rik|AL022899|Ghiso|Q91V16,LYR motif containing 5,ENSMUSG00000040370,86,,MitoDomain,26,1.73,NoMitoHomolog,NoHomolog,75-100pure,21.5276,0.004,1,"mito protein domain+, induction, coexpression, MS/MS++",chr6,145211133,145216542,11,16,157,1.63E+09,88,"cerebrum, brainstem, spinalcord, kidney, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta",6.9,,7.6,7,8.2,8.5,8.2,,8.8,7.8,7.6,7.9,7.8,,"Microtubule organizing center (APE, Uncertain)"
Tmito,4718,68197,Ndufc2,1810004I06Rik|2010300P09Rik|G1|R75094|Q9CQ54,"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2",ENSMUSG00000030647,120,,MitoDomain,46,,NoMitoHomolog,NoHomolog,75-100pure,21.4388,0.004,1,"literature, APEX_IMS, mito protein domain+, coexpression++, MS/MS++",chr7,97400002,97407800,14,17,716,7.95E+10,81,all 14,9.9,9.8,10,9.6,10.1,9.7,9.5,9.2,9.6,9.8,9.8,9.7,9.5,9.3,
Tmito,4702,68375,Ndufa8,0610033L03Rik|AW261656|Q9DCJ5,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8",ENSMUSG00000026895,172,,SharedDomain,48,1.84,NoMitoHomolog,NoHomolog,75-100pure,21.4229,0.004,1,"literature, APEX_IMS, mito protein domain, induction, coexpression++, MS/MS++",chr2,36036333,36049292,14,19,847,1.33E+11,89,all 14,10.3,9.9,10.4,9.8,10.2,9.9,10.1,9.4,9.7,10,9.9,9.8,9.8,9.4,"Mitochondria (APE, Supportive)"
Tmito,25902,270685,Mthfd1l,2410004L15Rik|AI647056|Fthfsdc1|Q3V3R1,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like,ENSMUSG00000040675,977,1,SharedDomain,3,,OrthologMitoLowConf,Homolog,50-75pure,21.4171,0.004,1,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, MS/MS++",chr10,3973074,4167081,12,65,1172,3.29E+10,70,"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis",9.7,9.7,9.7,8.7,7.1,6.6,,,9.1,8.4,9.6,8.5,9.7,9.8,
Tmito,5165,236900,Pdk3,2610001M10Rik|AI035637|Q922H2,"pyruvate dehydrogenase kinase, isoenzyme 3",ENSMUSG00000035232,415,2,MitoDomain,4,,OrthologMitoLowConf,NoHomolog,50-75pure,21.4,0.004,1,"literature, APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain+, MS/MS++",chrX,93764615,93832095,12,26,245,6.18E+09,66,"cerebrum, cerebellum, brainstem, spinalcord, kidney, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis",8.7,8.3,8.5,8.8,8.5,,,6.7,8.3,9,8.8,8.5,8.4,9.3,
Tmito,84987,66379,Cox14,2310016M24Rik|AA959804|Q8BH51,cytochrome c oxidase assembly protein 14,ENSMUSG00000023020,57,,MitoDomain,48,1.13,NoMitoHomolog,NoHomolog,75-100ambig,21.3883,0.004,1,"literature, GFP, mito protein domain+, induction, coexpression++, MS/MS+",chr15,99725617,99728136,8,6,30,1.79E+09,81,"cerebrum, cerebellum, brainstem, spinalcord, kidney, heart, smallintestine, testis",8.3,7.4,7.6,6.1,8.3,,7.5,,,9,,,,8.3,"Mitochondria (APE, Supportive)"
Tmito,51258,66493,Mrpl51,2610511M02Rik|CDA09|HSPC241|Mrp64|Q9CPY1,mitochondrial ribosomal protein L51,ENSMUSG00000030335,128,1,MitoDomain,17,,NoMitoHomolog,NoHomolog,50-75pure,21.382,0.004,1,"literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression, MS/MS++",chr6,125192199,125194392,13,12,102,2.14E+09,56,"cerebrum, cerebellum, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis",7.9,7.5,,7.7,8.3,8.1,8.6,8.1,8.2,8.4,8.5,8,8.4,8,"Mitochondria (APE, Supportive)"
Tmito,2639,270076,Gcdh,9030411L18|AI266902|D17825|GCD|Q60759,glutaryl-Coenzyme A dehydrogenase,ENSMUSG00000003809,447,1,MitoDomain,12,,NoMitoHomolog,NoHomolog,50-75pure,21.382,0.004,1,"literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression, MS/MS++",chr8,84886386,84893921,14,32,499,2.38E+10,75,all 14,8.4,7.5,8.9,8.4,9.9,10,8.6,7.7,9,8.6,8.6,9.1,9,8.6,"Mitochondria (APE, Supportive)"
Tmito,3029,14651,Hagh,BC019817|Glo-2|Glo2|Rsp29|Q99KB8,hydroxyacyl glutathione hydrolase,ENSMUSG00000024158,309,1,SharedDomain,11,3.34,NoMitoHomolog,NoHomolog,50-75pure,21.3661,0.004,1,"literature, APEX_matrix, targetP signal+, mito protein domain, induction, coexpression, MS/MS++",chr17,24850489,24864450,12,17,155,2.38E+09,63,"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis",8,7.6,7.9,8.2,8.7,8.7,,,8.3,8.4,7.9,7.3,8.1,8.5,
Tmito,4580,17827,Mtx1,Gcap6|Mtx|F7C846,metaxin 1,ENSMUSG00000064068,461,,MitoDomain,5,,OrthologMitoHighConf,NoHomolog,50-75pure,21.3512,0.004,1,"literature, yeast mito homolog++, mito protein domain+, coexpression, MS/MS++",chr3,89209080,89214335,14,30,435,9.71E+09,62,all 14,8.9,8.7,8.8,8.4,9.1,8.7,8.5,7.4,9,7.3,9.1,8.6,9.3,8.9,"Mitochondria (APE, Supportive)"
Tmito,10667,69955,Fars2,Fars1|pheRS|Q99M01,phenylalanine-tRNA synthetase 2 (mitochondrial),ENSMUSG00000021420,451,4,SharedDomain,23,1.09,OrthologMitoLowConf,Homolog,25-50ambig,21.3387,0.004,1,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS",chr13,36117642,36537595,5,13,27,2.90E+08,41,"adipose, largeintestine, stomach, placenta, testis",,,,,,,,,7.5,,7.8,7.5,7.7,8.1,"Plasma membrane (APE, Uncertain)"
Tmito,84869,234309,Cbr4,A730083J17Rik|BC009118|Q91VT4,carbonyl reductase 4,ENSMUSG00000031641,236,5,SharedDomain,37,1.05,NoMitoHomolog,Homolog,75-100pure,21.2618,0.004,1,"literature, APEX_matrix, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++",chr8,61487733,61503500,14,20,423,1.94E+10,76,all 14,9.1,9.1,9.2,8.9,9.4,9.6,9.1,8.3,9.1,8.5,8.9,8.6,9.2,9.3,
Tmito,64983,75398,Mrpl32,0610033O15Rik|Q9DCI9,mitochondrial ribosomal protein L32,ENSMUSG00000015672,187,5,SharedDomain,20,,OrthologMitoHighConf,Ortholog,25-50ambig,21.2603,0.004,1,"literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS",chr13,14610300,14613037,12,11,70,1.05E+09,46,"cerebrum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis",7.7,,7.7,7.1,,8,7.2,6.7,7.8,8,8.3,7.3,8.3,8.3,
Tpossible_mito,221545,69662,2310061I04Rik,B8JJ69,RIKEN cDNA 2310061I04 gene,ENSMUSG00000050705,315,2,NA,45,2.65,NoMitoHomolog,NoHomolog,25-50pure,21.2418,0.004,1,"targetP signal, induction, coexpression++, MS/MS+",chr17,35892676,35897378,14,14,224,4.81E+09,41,all 14,9,8.9,9.1,8.8,8.2,7.7,7.8,8.1,8.1,7.6,8.2,7.8,7.6,8.2,
Tmito,112812,68165,Fdx1l,B230118G17Rik|Q9CPW2,ferredoxin 1-like,ENSMUSG00000079677,174,1,SharedDomain,13,,OrthologMitoLowConf,Homolog,25-50ambig,21.2258,0.004,1,"APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression, MS/MS",chr9,21067519,21073514,11,7,57,8.86E+08,47,"cerebrum, cerebellum, brainstem, spinalcord, liver, skeletalmuscle, adipose, largeintestine, stomach, placenta, testis",8.3,8,8,7.7,,7.7,,6.9,8.1,,7.8,7.3,7.9,8.1,
Tmito,4508,17705,ATP6,P00848,ATP synthase F0 subunit 6,ENSMUSG00000064357,226,,MitoDomain,NA,,OrthologMitoHighConf,Ortholog,25-50pure,21.1463,0.004,1,"literature, yeast mito homolog++, Rickettsial homolog, mito protein domain+, MS/MS+",chrM,7926,8607,14,4,267,7.53E+09,26,all 14,9.1,8.9,9.2,7.8,8.6,8.2,8.5,9.1,8.3,8.7,8.2,8.4,8.2,8.3,
Tmito,4513,17709,COX2,P00405,cytochrome c oxidase subunit II,ENSMUSG00000064354,227,,MitoDomain,NA,,OrthologMitoHighConf,Ortholog,25-50pure,21.1463,0.004,1,"literature, APEX_IMS, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain+, MS/MS+",chrM,7012,7696,14,10,2001,4.42E+11,45,all 14,10.6,10.5,10.7,10.5,10.7,10.4,10.7,9.9,10.3,10.5,10.6,10.4,10.3,10,
Tmito,10131,68015,Trap1,2410002K23Rik|HSP75|Q9CQN1,TNF receptor-associated protein 1,ENSMUSG00000005981,706,2,SharedDomain,45,,NoMitoHomolog,Homolog,75-100ambig,21.1386,0.004,1,"APEX_matrix, GFP, targetP signal, Rickettsial homolog, mito protein domain, coexpression++, MS/MS+",chr16,4039976,4077810,14,60,1641,9.78E+10,77,all 14,9.4,9,9.5,9.5,10.4,10,9,9.3,10.1,9.9,10.1,9.4,10,9.7,"Mitochondria (APE, Supportive)"
Tmito,2820,14571,Gpd2,AA408484|AI448216|AU021455|AW494132|GPDH|Gdm1|Gpd-m|Gpdh-m|TISP38|Q64521,"glycerol phosphate dehydrogenase 2, mitochondrial",ENSMUSG00000026827,727,5,SharedDomain,15,,OrthologMitoHighConf,NoHomolog,75-100pure,21.1372,0.004,1,"literature, APEX_IMS, yeast mito homolog++, mito protein domain, coexpression, MS/MS++",chr2,57237677,57370719,13,69,2761,1.40E+11,91,"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis",10.2,9.8,10.1,10.1,9.9,9.6,,10.3,10.3,10.1,9.8,9.9,9.7,9.9,
Tmito,22,11306,Abcb7,AA517758|AU019072|Abc7|Q61102,"ATP-binding cassette, sub-family B (MDR/TAP), member 7",ENSMUSG00000031333,752,4,SharedDomain,35,,OrthologMitoLowConf,Homolog,25-50pure,21.0529,0.004,1,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression+, MS/MS+",chrX,104280564,104413846,14,36,739,6.65E+09,43,all 14,9,8.8,9,8.8,8.8,8.6,7.2,8.9,8,8.7,8.7,8.2,8.2,7.5,"Mitochondria (APE, Supportive)"
Tmito,3028,15108,Hsd17b10,17bHSD10|Ads9|ERAB|Hadh2|Q99N15,hydroxysteroid (17-beta) dehydrogenase 10,ENSMUSG00000025260,261,4,SharedDomain,25,0.66,NoMitoHomolog,Homolog,75-100pure,21.0515,0.004,1,"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++",chrX,152001895,152004442,14,22,2396,1.94E+11,96,all 14,10.2,10.1,10.2,10,10.2,10.6,10,9.2,10.1,9.9,10.1,10.3,10.2,10,"Nucleus;Nuclear membrane (APE, Uncertain)"
Tmito,2746,14661,Glud1,AI118167|Gdh-X|Glud|Gludl|P26443,glutamate dehydrogenase 1,ENSMUSG00000021794,558,3,SharedDomain,9,0.36,HomologMitoHighConf,Ortholog,50-75pure,21.0307,0.004,1,"literature, APEX_matrix, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain, coexpression, MS/MS++",chr14,34310726,34345033,14,49,4225,4.59E+11,74,all 14,10.6,10.1,10.8,10.5,10.5,11,9.3,9.3,10.4,10.8,10.1,9.9,10.8,9.6,
Tmito,217,11669,Aldh2,Ahd-5|Ahd5|P47738,"aldehyde dehydrogenase 2, mitochondrial",ENSMUSG00000029455,519,2,SharedDomain,5,,OrthologMitoLowConf,NoHomolog,75-100pure,21.004,0.004,1,"literature, APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain, coexpression, MS/MS++",chr5,121567686,121593824,14,51,2836,3.89E+11,80,all 14,9.4,9.1,9.5,9.5,10.6,10.8,9.7,9.2,10.9,10.7,10.5,10,10.4,10.8,
Tmito,7284,233870,Tufm,2300002G02Rik|C76308|C76389|EF-TuMT|EFTU|Q8BFR5,"Tu translation elongation factor, mitochondrial",ENSMUSG00000073838,452,2,SharedDomain,NA,,OrthologMitoLowConf,Homolog,75-100pure,20.9566,0.004,1,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, MS/MS++",chr7,126487354,126490731,14,37,1935,1.10E+11,76,all 14,9.7,9.1,9.7,9.7,10.1,9.7,10,9.6,9.9,10.2,10,9.9,10.2,9.6,"Mitochondria (APE, Supportive)"
Tpossible_mito,10901,28200,Dhrs4,AI043103|AI790593|CR|D14Ucla2|NDRD|PHCR|PSCD|RRD|mouNRDR|Q99LB2,dehydrogenase/reductase (SDR family) member 4,ENSMUSG00000022210,279,1,SharedDomain,16,,NoMitoHomolog,Homolog,75-100pure,20.9386,0.004,1,"targetP signal+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++",chr14,55478757,55490340,14,26,489,3.37E+10,88,all 14,9.1,8.9,9.5,9,10,10,9.3,8.1,9.2,9.2,9,8.6,8.8,9.2,"Vesicles (APE, Supportive)"
